Configure,Configure
Close,Close
Sandbox,Sandbox
Production,Production
"Recommended Solutions:","Recommended Solutions:"
"Payment Services","Payment Services"
"Payment Services is your turnkey integrated solution for providing secure payment processing, robust reporting, and optimized online order payments.","Payment Services is your turnkey integrated solution for providing secure payment processing, robust reporting, and optimized online order payments."
"General Configuration","General Configuration"
Enable,Enable
Method,Method
"Sandbox Merchant ID","Sandbox Merchant ID"
"Production Merchant ID","Production Merchant ID"
